年（和暦）,年（西暦）,月,項目,単位,値
平成27,2015,12,男,人,1856283
平成27,2015,12,女,人,1869475
平成28,2016,1,市域面積,km2,435.23
平成28,2016,1,世帯数,世帯,1646348
平成28,2016,1,人口総数,人,3724695
平成28,2016,1,男,人,1855497
平成28,2016,1,女,人,1869198
平成28,2016,2,市域面積,km2,435.23
平成28,2016,2,世帯数,世帯,1645859
平成28,2016,2,人口総数,人,3723862
平成28,2016,2,男,人,1854925
平成28,2016,2,女,人,1868937
平成28,2016,3,市域面積,km2,435.23
平成28,2016,3,世帯数,世帯,1645581
平成28,2016,3,人口総数,人,3722551
平成28,2016,3,男,人,1853986
平成28,2016,3,女,人,1868565
平成28,2016,4,市域面積,km2,435.23
平成28,2016,4,世帯数,世帯,1652584
平成28,2016,4,人口総数,人,3725042
平成28,2016,4,男,人,1854860
平成28,2016,4,女,人,1870182
平成28,2016,5,市域面積,km2,435.23
平成28,2016,5,世帯数,世帯,1657700
平成28,2016,5,人口総数,人,3730706
平成28,2016,5,男,人,1857812
平成28,2016,5,女,人,1872894
平成28,2016,6,市域面積,km2,435.23
平成28,2016,6,世帯数,世帯,1658771
平成28,2016,6,人口総数,人,3731216
平成28,2016,6,男,人,1857984
平成28,2016,6,女,人,1873232
平成28,2016,7,市域面積,km2,435.29
平成28,2016,7,世帯数,世帯,1659719
平成28,2016,7,人口総数,人,3731750
平成28,2016,7,男,人,1857919
平成28,2016,7,女,人,1873831
平成28,2016,8,市域面積,km2,435.29
平成28,2016,8,世帯数,世帯,1659576
平成28,2016,8,人口総数,人,3731286
平成28,2016,8,男,人,1857556
